Student ID,First name,Last name,Gender,Date of birth,Classname,Country
515795,Kirsten,Bruen,Female,18/12/1983,5203002,Ethiopia
540856,Danyka,Weissnat,Female,10/12/1981,5203001,Chile
512225,Mozell,Mills,Male,6/1/1984,5203004,Mexico
508832,Susie,Connelly,Male,29/08/1984,5203003,Cuba
597369,Selina,Pollich,Female,3/12/1985,5203002,Ethiopia
583706,Gordon,Halvorson,Male,20/06/1984,5203003,Cuba
592349,Milan,Beer,Male,19/10/1982,5203004,Monaco
566892,Casimer,Mueller,Female,27/09/1985,5203004,Ethiopia
548459,Jedidiah,Pfeffer,Male,23/11/1983,5203003,Austria
548970,Lazaro,Luettgen,Male,24/05/1983,5203004,Canada
556227,Jewel,OKeefe,Female,3/1/1983,5203002,Cuba
517608,Abigail,Oberbrunner,Male,27/03/1981,5203004,Poland
533364,Tatyana,Schaden,Male,28/05/1985,5203003,Monaco
505807,Axel,Denesik,Male,7/2/1984,5203001,Eritrea
538751,Annamarie,Howell,Female,3/7/1983,5203003,Serbia
583539,Ariel,Kling,Male,9/7/1985,5203002,Zambia
505252,Ayden,Smith,Male,27/08/1984,5203001,Zambia
570263,Delfina,Ortiz,Female,12/10/1985,5203001,Mexico
511086,Kyla,Shanahan,Male,10/4/1986,5203002,Canada
550394,Eladio,Kilback,Male,3/10/1982,5203001,Chile
514566,Elbert,Waters,Male,21/02/1983,5203003,Monaco
514409,Lera,Wintheiser,Male,6/10/1981,5203004,Eritrea
575046,Elisa,Schuster,Male,30/05/1983,5203004,Panama
550368,Yasmin,Waelchi,Female,9/3/1986,5203002,Singapore
555829,Johnathan,Daugherty,Male,29/12/1985,5203001,Bahrain
517973,Eloise,Strosin,Female,18/07/1982,5203002,Eritrea
549793,Alberto,Kub,Female,3/10/1984,5203001,Ethiopia
563628,Abdullah,Heller,Female,27/12/1984,5203002,Azerbaijan
507534,Gabriel,Koelpin,Female,1/4/1983,5203002,Austria
595235,Carlo,Mueller,Male,20/05/1982,5203001,Monaco
525889,Elouise,Barton,Female,9/12/1984,5203002,Sweden
521167,Kelton,Hagenes,Male,6/7/1985,5203001,Austria
548013,Vern,Mante,Female,21/11/1980,5203002,Nigeria
526533,Giovanna,Pollich,Male,29/05/1981,5203001,Singapore
515643,Damion,Dach,Female,3/6/1981,5203001,Nigeria
581784,Karianne,Kessler,Male,24/01/1985,5203001,Ethiopia
597778,Mylene,Bartell,Female,20/01/1984,5203001,Azerbaijan
564515,Price,Brakus,Female,31/07/1987,5203001,Eritrea
561577,Loyce,Farrell,Female,10/6/1984,5203003,Cuba
584212,Myriam,Marquardt,Female,13/03/1980,5203003,Nigeria
535460,Dax,Bergnaum,Female,11/6/1983,5203001,Serbia
576705,Garett,Wiegand,Female,29/01/1982,5203004,Canada
591151,Armand,Hoeger,Female,31/07/1987,5203002,Nigeria
552208,Wade,Lemke,Male,2/5/1982,5203002,Greenland
503267,Darrion,Schaden,Male,5/8/1983,5203002,Azerbaijan
582903,Brandi,Farrell,Female,23/02/1987,5203002,Eritrea
583640,Jazmyn,Hagenes,Female,18/09/1984,5203002,Azerbaijan
525993,Noelia,Treutel,Male,27/09/1981,5203001,India
554182,Alexie,Jaskolski,Female,21/05/1985,5203003,Montenegro
570437,Oliver,Kerluke,Male,2/7/1986,5203002,Sweden
554167,Sunny,Bogisich,Female,3/7/1986,5203003,Azerbaijan
582868,Garry,Conn,Male,2/2/1983,5203002,Bahrain
527839,Josefa,Runte,Male,21/06/1987,5203004,Montenegro
580579,Kacey,Robel,Female,24/07/1983,5203001,Bahrain
535805,Noe,Konopelski,Female,24/03/1983,5203003,Greenland
578498,Viva,Wiza,Female,9/12/1987,5203002,Zambia
572496,Abel,Moore,Male,12/1/1981,5203003,Mexico
545396,Josh,Kling,Female,6/3/1980,5203002,Bahrain
591178,Clifford,Hodkiewicz,Female,6/5/1987,5203004,Greenland
537586,Danny,White,Male,23/03/1987,5203003,Sweden
540167,Timmothy,Buckridge,Male,11/4/1985,5203002,Poland
583147,Telly,Reinger,Male,3/4/1982,5203001,Singapore
597714,Lacy,Paucek,Male,21/09/1986,5203003,Azerbaijan
568335,Edmond,Boehm,Male,21/11/1982,5203002,Monaco
548407,Margarett,Reinger,Male,23/07/1983,5203001,Panama
558578,Kelly,Graham,Male,13/08/1985,5203002,Bahrain
560625,Sheldon,Price,Male,20/12/1984,5203004,Serbia
525304,Arch,Ortiz,Female,24/01/1981,5203003,Zambia
537536,Colin,Feil,Female,2/5/1984,5203001,Poland
541018,Jennie,Stamm,Female,7/3/1981,5203004,Serbia
559855,Easter,Ryan,Male,8/1/1987,5203004,Azerbaijan
509037,Carole,Bode,Male,4/6/1980,5203004,Azerbaijan
568989,Ida,Monahan,Female,16/11/1984,5203002,Serbia
